category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,58.8,24.8,62.3,26
passes,pass,true,true,false,,32.4,22.8,42.7,5.1
passes,pass,true,true,false,,34.1,25.6,30.4,44.1
passes,pass,true,true,false,,52.1,28.9,40.7,34.2
passes,pass,true,,false,,77.1,14.6,78.2,16.6
passes,pass,true,true,false,,72.4,6.6,89,8.7
passes,pass,true,true,false,,51.9,26.4,41.6,67.8
passes,pass,true,true,false,,48.4,26.8,39.6,66.6
passes,pass,true,,false,true,48.6,6.6,80.1,7.5
passes,pass,true,true,false,,73,57.7,73.2,24.6
passes,pass,true,true,true,,63.1,46.6,75.2,60
passes,pass,true,,false,,38.1,67.6,65.3,79.9
passes,pass,true,true,false,,43.5,47.8,30.5,37.8
passes,pass,true,true,false,,63.4,22.9,71.6,10.3
passes,pass,true,true,false,,39.1,38.2,55.9,5.4
passes,pass,true,true,false,,44.5,39.3,41.5,69.7
passes,pass,true,true,false,,26.1,46.5,26.6,62.1
passes,pass,true,,false,true,40.8,20.2,75.2,10.8
passes,pass,true,true,false,,43.3,67.5,41,84.6
passes,pass,true,true,false,,55.6,53.1,51.1,51.1
passes,pass,true,true,false,,61.6,55,77.7,23.5
passes,pass,true,true,false,,30.5,11.4,30.3,6.9
passes,pass,true,true,false,,22.3,15,11.7,50.8
passes,pass,true,true,false,,42.6,54.2,54.6,60.5
passes,pass,true,true,false,,14.4,39.5,3.7,26.8
passes,pass,true,,false,true,25.1,37.3,69.7,96.9
passes,pass,true,true,false,,74.6,25.2,81.4,12.4
passes,pass,true,true,false,,62.9,71.2,60.3,77.2
passes,pass,true,true,false,true,69.2,70.2,92.4,28
passes,pass,true,,false,,62.3,47.2,71.4,52.3
passes,pass,true,true,false,,71.8,66.7,95.2,81.4
passes,pass,true,true,false,,69.3,73.6,90.2,82.3
dribbles,dribble,true,,false,,42.8,56,,
defensive,interception,true,true,false,,14.3,45.2,,
defensive,ball-recovery,true,true,false,,10.9,34.9,,
defensive,clearance,true,true,false,,1.9,29.7,0,15
defensive,ball-recovery,true,true,false,,13,39.5,,
defensive,tackle,true,true,false,,62.4,48.8,,
defensive,tackle,true,,false,,35.9,67.5,,
defensive,tackle,true,,false,,30.4,19.6,,
defensive,tackle,true,true,false,,28.3,10.8,,
defensive,tackle,true,true,false,,11.8,11.8,,
ball-carries,ball-carry,true,,,,74.8,27,72.7,23.5
ball-carries,ball-carry,true,,,,55.3,23.5,51.9,26.4
ball-carries,ball-carry,true,,,,56.3,24.1,48.4,26.8
ball-carries,ball-carry,true,,,,73.1,66.9,73,57.7
ball-carries,ball-carry,true,,,,44.7,26,53.3,22.3
ball-carries,ball-carry,true,,,,10.9,34.9,1.9,29.7
ball-carries,ball-carry,true,,,,61.8,34,44.5,39.3
ball-carries,ball-carry,true,,,,38.7,27.1,40.8,20.2
ball-carries,ball-carry,true,,,,40.7,64.2,42.8,56
ball-carries,ball-carry,true,,,,59.1,57.3,61.6,55
ball-carries,ball-carry,true,,,,30.6,14.5,22.3,15
ball-carries,ball-carry,true,,,,18.4,39,25.1,37.3
