category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,47.7,10.6,35.8,7.6
passes,pass,true,true,false,,27.6,16.5,34.1,14.8
passes,pass,true,true,false,true,26.7,15.4,27.3,71.5
passes,pass,true,true,false,,22.5,63,28.1,72.4
passes,pass,true,true,false,,52.9,27.4,59.4,49.6
passes,pass,true,true,false,,60.6,33.6,66.3,38.2
passes,pass,true,,false,,34.6,38.2,46.6,50.8
passes,pass,true,true,false,,23.8,28.5,24.6,24
passes,pass,true,true,false,,37.4,59.7,29.5,69.3
passes,pass,true,true,false,,38,50.4,46.4,48
passes,pass,true,true,false,,37.8,49.8,33.3,73.3
passes,pass,true,true,false,,42.8,48.4,42,28
passes,pass,true,true,false,,54.6,43.3,47.2,64.9
passes,pass,true,true,false,,57.1,39.4,60.9,45
passes,cross,true,,false,true,99.5,99.5,93,52.9
passes,pass,true,true,true,,81.6,67,92.7,80.2
passes,pass,true,true,false,,37.4,50.5,37,59.7
passes,pass,true,,false,true,43.6,45.1,77.1,0
passes,pass,true,true,false,,53,14.4,55,6
passes,pass,true,true,false,,14.7,50.3,2.8,59.7
passes,pass,true,true,false,,35.9,91.6,59.9,81.6
passes,pass,true,true,false,,59.7,87.1,56.4,86.2
passes,pass,true,true,false,,69.1,69.3,58.2,74.4
passes,pass,true,true,false,,64.2,42.4,53.3,30.4
passes,pass,true,true,false,,59.5,35.1,41,31.3
passes,pass,true,true,false,,61.7,19.2,52.9,43.9
passes,cross,true,,false,,97.3,5.4,98,8.8
passes,pass,true,,false,,94.3,7.4,93.3,10.3
passes,pass,true,true,false,,68.7,69.1,71.9,92.5
passes,pass,true,true,false,,53.6,55.6,65.3,39.6
passes,pass,true,,false,,65.2,46.2,89.9,69.9
passes,pass,true,true,false,,37.2,42.9,36.5,53.7
passes,pass,true,true,false,,50.1,49.6,30.4,39.1
passes,pass,true,true,false,,63.2,16,46.6,4.6
passes,pass,true,true,false,,40.2,66.4,47.7,93.7
passes,pass,true,true,false,,69.3,70.6,68.7,78.6
passes,pass,true,true,false,,71.2,54.3,83.7,71.8
passes,pass,true,true,false,,19.4,83.8,10.1,67.6
passes,pass,true,true,false,,29.5,63,48.3,68.7
passes,pass,true,true,false,,62.7,67.7,51,43
passes,cross,true,,false,true,93.9,24.3,90.4,100
dribbles,dribble,true,true,false,,91.8,8.2,,
dribbles,dribble,true,,false,,73.2,66.6,,
defensive,ball-recovery,true,true,false,,48.5,10.8,,
defensive,block,true,true,false,,5.5,48.7,,
defensive,ball-recovery,true,true,false,,22.4,62.2,,
defensive,tackle,true,,false,,77.8,13.9,,
defensive,ball-recovery,true,true,false,,60.6,33.7,,
defensive,tackle,true,true,false,,36.8,34.6,,
ball-carries,ball-carry,true,,,,34.1,55.2,38,50.4
ball-carries,ball-carry,true,,,,35.7,46.2,37.8,49.8
ball-carries,ball-carry,true,,,,38.1,38.8,54.6,43.3
ball-carries,ball-carry,true,,,,78.9,64.8,81.6,67
ball-carries,ball-carry,true,,,,40.7,46.8,43.6,45.1
ball-carries,ball-carry,true,,,,91.1,6.3,97.3,5.4
ball-carries,ball-carry,true,,,,59.5,68.4,68.7,69.1
ball-carries,ball-carry,true,,,,58.8,66.4,62.5,69
