category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,false,true,false,,34.2,64.2,39.2,71.4
passes,pass,false,true,false,,33.5,70.8,47.1,95.8
passes,pass,false,true,false,,27,64.8,22.9,57.6
passes,cross,false,,false,,82.6,12.3,92.1,52.6
passes,pass,false,,false,,83.8,26.2,83.8,28
passes,pass,false,true,false,,56.4,34.3,60.4,5.2
passes,pass,false,true,false,,55.1,44.5,54.9,71.8
passes,pass,false,true,false,,50.7,28.9,47,70.9
passes,cross,false,,false,true,99.5,99.5,93.5,53.1
passes,pass,false,true,false,,15.9,63.4,22.1,85.8
passes,pass,false,true,false,,38.7,27.3,38.4,4.9
passes,pass,false,true,false,,30.3,67.8,31.3,58.3
passes,pass,false,true,false,,43,55.8,53.9,84.7
passes,pass,false,true,false,,64.4,64.6,48.9,46.5
passes,pass,false,true,false,,73.9,71.5,72,83.7
passes,pass,false,true,true,,63.2,31.8,78,29.2
passes,pass,false,true,false,,60.8,29.1,68,37
passes,pass,false,,false,,76.7,31.3,88.9,30.1
passes,pass,false,true,false,true,99.5,0.5,73,26.2
passes,pass,false,true,false,,16.2,32.7,8.2,12.1
passes,pass,false,true,false,,64.7,92,62.5,77.9
passes,pass,false,true,false,,58.7,81.4,64.3,94.9
passes,pass,false,true,false,,67.9,81.3,71.1,74.8
passes,pass,false,true,false,,67.2,73,62.3,70.5
passes,pass,false,true,false,,74.1,30.4,83,26.7
passes,cross,false,true,true,,85.5,24.9,96.8,53.2
passes,pass,false,true,false,,37.8,63.6,32.7,67.2
passes,pass,false,true,false,,56.3,28.6,52.6,56.7
passes,pass,false,true,false,,38.5,29.1,39.2,46.8
passes,pass,false,true,false,,70.9,28,72.9,7.8
passes,pass,false,,false,,55.7,16.3,82.5,11.2
passes,pass,false,true,false,,25.5,33.3,38.1,27.1
passes,pass,false,,false,true,64.9,36.6,100,21.4
passes,pass,false,true,false,,56.8,28.9,54.5,42.6
passes,pass,false,true,false,,40,35.4,39,27.6
passes,pass,false,true,true,,84.9,48.9,87.3,40.9
passes,pass,false,,false,true,5.8,26.7,68.6,8.5
passes,pass,false,true,false,,24.6,51.1,28.5,65.5
passes,pass,false,true,false,,60.8,55.5,66.6,56.4
passes,pass,false,true,false,,66.4,20.4,59.1,33.6
passes,pass,false,true,false,,66.1,30.7,56.3,17.1
passes,pass,false,,false,,80.8,30.9,82.2,32.5
passes,pass,false,true,false,,38.6,36.6,36.5,52.2
passes,pass,false,true,false,,64.5,43.9,60.2,42.7
passes,pass,false,true,false,,38.4,11.5,45.1,29.1
passes,pass,false,true,false,,64.2,37.3,65.1,9.7
passes,pass,false,,false,,70.1,48.7,92.4,49.2
passes,pass,false,true,false,,78.4,69,91.3,73.3
dribbles,dribble,false,true,false,,34.8,69.8,,
dribbles,dribble,false,,false,,42.6,82.8,,
defensive,ball-recovery,false,true,false,,34.2,64.2,,
defensive,ball-recovery,false,true,false,,27,64.8,,
defensive,ball-recovery,false,true,false,,59.6,14.7,,
defensive,clearance,false,true,false,,10.7,61.9,12.9,81
defensive,ball-recovery,false,true,false,,15.9,63.4,,
defensive,ball-recovery,false,true,false,,28.2,67,,
defensive,ball-recovery,false,true,false,,16.4,32.7,,
defensive,ball-recovery,false,true,false,,80.3,14.3,,
defensive,ball-recovery,false,true,false,,5.2,27.9,,
defensive,ball-recovery,false,true,false,,63.8,16.2,,
defensive,clearance,false,true,false,,9.5,43.1,7.4,46.6
ball-carries,ball-carry,false,,,,59.6,14.7,82.6,12.3
ball-carries,ball-carry,false,,,,76.4,30.6,80.4,27.7
ball-carries,ball-carry,false,,,,38.1,43.3,56.4,34.3
ball-carries,ball-carry,false,,,,62.9,33.6,55.1,44.5
ball-carries,ball-carry,false,,,,35.6,31.3,38.7,27.3
ball-carries,ball-carry,false,,,,25.6,61.5,34.8,69.8
ball-carries,ball-carry,false,,,,34.9,47.5,43,55.8
ball-carries,ball-carry,false,,,,49.2,30.6,63.2,31.8
ball-carries,ball-carry,false,,,,59.4,41.7,60.8,29.1
ball-carries,ball-carry,false,,,,62.5,86.7,58.7,81.4
ball-carries,ball-carry,false,,,,68,78.6,67.2,73
ball-carries,ball-carry,false,,,,80.3,14.3,85.5,24.9
ball-carries,ball-carry,false,,,,58,23.8,56.3,28.6
ball-carries,ball-carry,false,,,,41.4,28.6,38.5,29.1
ball-carries,ball-carry,false,,,,21.7,42.6,25.5,33.3
ball-carries,ball-carry,false,,,,81.5,38.4,84.9,48.9
ball-carries,ball-carry,false,,,,63.8,16.2,66.4,20.4
ball-carries,ball-carry,false,,,,61,30,61.2,23.6
ball-carries,ball-carry,false,,,,68.3,43.5,70.1,48.7
