category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,36.2,64.8,36.5,36.3
passes,pass,true,true,false,,38.1,57.6,48.6,93
passes,pass,true,true,false,,40.1,37.9,38.4,67.3
passes,pass,true,,false,true,44.4,52.2,100,22.3
passes,pass,true,true,false,,21.3,61.3,23.5,35.7
passes,pass,true,true,false,,49.5,45.7,55.5,88.8
passes,pass,true,,false,,37.4,68.3,40,74.8
passes,pass,true,true,false,,27.5,27.6,38.6,32.1
passes,pass,true,true,false,,32.2,32.5,42.3,46.6
passes,pass,true,true,false,,55.4,72.6,59.5,84.4
passes,pass,true,true,false,,54,67.9,51.3,41.3
passes,pass,true,true,false,,42.4,62.8,47.4,30.9
passes,pass,true,true,false,,62.4,87.4,45.1,61.2
passes,pass,true,true,false,,37.1,67.8,37.5,80.7
passes,pass,true,true,false,,54.7,39.9,56.9,11.4
passes,pass,true,,false,true,47.3,29.8,93.1,26.5
passes,pass,true,true,false,,30.3,44.4,34.1,32.1
passes,pass,true,true,false,,56.8,40.6,71.6,3.6
passes,pass,true,true,false,,62.8,91.3,70.2,80.5
passes,pass,true,,false,,13.5,89.7,24.8,93.1
passes,pass,true,true,false,,53.3,45.4,55.3,56.1
passes,pass,true,,false,true,34.9,47,67.7,50.5
passes,pass,true,,false,,39.7,50.2,42,21.4
passes,pass,true,true,false,,39,73.3,43.7,47.5
passes,pass,true,true,false,,21.6,54.7,37,30.3
passes,pass,true,true,false,,27.3,66.4,26,76
passes,pass,true,true,false,,28.9,46.6,29.9,25.8
passes,pass,true,true,false,,51.1,57.6,51.5,36.6
passes,pass,true,true,false,,57.1,58.2,53.9,32.2
passes,pass,true,true,false,,42.8,62.4,40.4,82.5
passes,pass,true,true,false,,54.1,88.9,54.7,95.1
passes,pass,true,true,false,,34.8,54.4,34.1,30.1
passes,pass,true,true,false,,43.9,55.9,45.1,27.3
passes,pass,true,,false,true,25.4,23,39.1,11.5
passes,pass,true,true,false,,23.6,70.5,20.8,32.2
passes,pass,true,true,false,,34.6,57.6,35.6,78.1
passes,pass,true,true,false,,44.3,74.1,33.5,74.7
passes,pass,true,true,false,,41.4,70.3,55.6,53.1
passes,pass,true,true,false,,36.7,80.4,31.3,63.3
passes,pass,true,true,false,,31.4,33.9,45.5,19.2
passes,pass,true,true,false,,44.2,29.2,38.5,11.2
passes,pass,true,true,false,,43.6,66.9,48.7,89.2
passes,pass,true,true,false,,65.7,59.7,68.6,45.1
passes,pass,true,,false,,71.9,44.4,78.4,34.6
passes,pass,true,true,false,,69.2,4.3,52.7,17.7
passes,pass,true,true,false,,49.3,48,67.6,65.1
passes,pass,true,,false,,92.4,28,92.3,49.9
passes,pass,true,true,false,,52.5,69,57.8,92.8
passes,pass,true,,false,,27.7,69.3,37.9,73.9
passes,pass,true,true,false,,40.4,62.7,33.5,67.2
passes,pass,true,true,false,,33,54.4,15.1,30.7
passes,pass,true,true,false,,60.8,55.5,73.3,48.1
passes,pass,true,true,false,,28.2,71.8,31.1,47
passes,pass,true,,false,,31.4,26.2,49.6,34
passes,pass,true,true,false,,33.4,27.6,10.9,43.6
passes,pass,true,true,false,,37.5,33,58.2,36
passes,pass,true,true,false,true,37.9,56.8,73.2,68.1
passes,pass,true,true,false,,65.9,70.9,54,51.6
defensive,ball-recovery,true,true,false,,40.1,37.9,,
defensive,interception,true,true,false,,40.6,69,,
defensive,ball-recovery,true,true,false,,13.4,87.7,,
defensive,tackle,true,true,false,,42.8,51.8,,
defensive,tackle,true,,false,,14.2,55.3,,
defensive,clearance,true,true,false,,14.9,43.8,47.1,19
defensive,tackle,true,true,false,,65.8,9.9,,
defensive,ball-recovery,true,true,false,,69.8,9.6,,
defensive,tackle,true,,false,,35.4,71.4,,
defensive,tackle,true,,false,,31,75,,
defensive,ball-recovery,true,true,false,,34.8,65.7,,
defensive,clearance,true,true,false,,4.1,34.2,52.7,5.8
defensive,tackle,true,true,false,,15.8,11,,
defensive,ball-recovery,true,true,false,,66.9,73.3,,
ball-carries,ball-carry,true,,,,34,70.3,36.2,64.8
ball-carries,ball-carry,true,,,,56.4,61.6,54,67.9
ball-carries,ball-carry,true,,,,64,83.2,62.4,87.4
ball-carries,ball-carry,true,,,,42.4,48.1,54.7,39.9
ball-carries,ball-carry,true,,,,24.8,43.6,30.3,44.4
ball-carries,ball-carry,true,,,,35,57.4,34.9,47
ball-carries,ball-carry,true,,,,22.5,59.8,21.6,54.7
ball-carries,ball-carry,true,,,,28.5,53.2,28.9,46.6
ball-carries,ball-carry,true,,,,51.9,65.4,51.1,57.6
ball-carries,ball-carry,true,,,,36.5,58.6,42.8,62.4
ball-carries,ball-carry,true,,,,28,37.3,31.4,33.9
ball-carries,ball-carry,true,,,,40.5,62.8,43.6,66.9
ball-carries,ball-carry,true,,,,60.5,65.5,65.7,59.7
ball-carries,ball-carry,true,,,,69.8,9.6,69.2,4.3
ball-carries,ball-carry,true,,,,57.1,56.2,60.8,55.5
ball-carries,ball-carry,true,,,,34.8,65.7,32.1,67.6
ball-carries,ball-carry,true,,,,37.4,25,33.4,27.6
ball-carries,ball-carry,true,,,,35.2,29.5,37.5,33
