category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,true,33.4,69.7,81.8,6.1
passes,pass,true,,false,,74.1,31.9,80.2,41.2
passes,pass,true,true,false,,66.4,51.9,46.4,48.3
passes,pass,true,true,false,,64.4,70.3,62.9,89.5
passes,pass,true,true,false,,57.3,58.9,53.6,70
passes,pass,true,true,false,,57.9,65.2,66,77.1
passes,pass,true,true,false,,27.8,22.8,19.9,34.5
passes,pass,true,true,false,,25.3,32.8,30.4,61.3
passes,pass,true,true,false,,52.1,56.2,58.8,15.1
passes,pass,true,true,false,,62.9,47.2,54.8,57.6
passes,pass,true,true,false,,46.4,64.5,41.2,71.4
passes,pass,true,true,false,,54.5,55.6,54.6,40.5
passes,pass,true,true,false,,64.9,57,74.8,96.7
passes,pass,true,true,false,,46.1,63.3,45.8,34
passes,pass,true,true,false,true,58,47.8,98.1,26.8
passes,pass,true,true,false,,62.4,68.7,64,35.5
passes,pass,true,true,false,,53.3,49.6,50.6,68.5
passes,pass,true,true,false,,55.8,43.3,62.7,16.6
passes,pass,true,,false,true,61.6,31.5,78.4,72.1
passes,pass,true,true,false,,46.1,49.8,70.5,49.6
passes,pass,true,true,false,,56.5,64.6,45.7,70
passes,pass,true,true,false,,46.7,69.3,46.7,42.3
passes,pass,true,true,false,,56.1,73.8,54.1,44.5
passes,pass,true,true,false,,58.1,39.1,53,33.6
passes,pass,true,true,false,,64.5,25,58.6,64.5
passes,pass,true,true,false,,31.9,47.5,44,27.4
passes,pass,true,true,false,,59.3,30.3,70,31.3
passes,pass,true,true,false,,46.8,15.3,38.7,35.2
passes,pass,true,true,false,,43,28,43.9,51.4
passes,pass,true,true,false,true,64.5,47.8,66.6,49.3
passes,pass,true,true,false,,65.4,75.6,64.9,96
passes,pass,true,true,false,true,65,80.5,75.5,13.9
passes,pass,true,true,false,,70.3,46.6,62.6,57.7
passes,pass,true,true,false,true,45.3,54.1,56.7,8.2
passes,pass,true,true,false,,58,36.1,58.1,12.6
passes,pass,true,true,false,,72.3,51,73.8,60.9
passes,pass,true,true,false,,65,53.8,54.1,44.2
passes,pass,true,true,false,,64.6,44.7,56.3,34.9
passes,pass,true,true,false,,53.6,58.9,55,93.6
passes,pass,true,true,false,,62.6,49.2,62.2,34.3
passes,pass,true,true,false,,61.4,60.6,71.2,65.5
passes,pass,true,,false,,30.1,63.4,30.2,45
passes,pass,true,true,false,,52,52.8,55.1,34.9
passes,pass,true,true,false,,57.1,46.2,56.5,29.1
passes,pass,true,true,false,,45.8,73.5,40.5,53.7
passes,pass,true,true,false,true,45.9,27,77,22.8
passes,pass,true,true,false,,72.7,57.6,65.8,40
passes,pass,true,true,false,,69.6,32.7,68.9,62.5
passes,pass,true,true,false,true,58.5,54.1,73.1,7.5
passes,pass,true,,false,,23.6,56.1,31.2,57.6
passes,pass,true,true,false,,36.1,69,34.3,52.2
passes,pass,true,true,false,,25.2,53.8,22.5,35.5
passes,pass,true,true,false,,55,82,53.7,92
passes,pass,true,true,false,,60.5,63.3,61.5,37.8
passes,pass,true,true,false,,61.5,85.8,60.9,47.5
passes,pass,true,true,false,,59.7,57,54.7,41.8
passes,pass,true,true,false,,73.8,66,70.1,82.2
passes,pass,true,true,false,,72.2,52.3,71.3,29.2
passes,pass,true,,false,,66.8,44.8,90.9,57.7
passes,pass,true,true,false,,29.8,67.2,16.9,48.3
passes,pass,true,true,false,,60.8,67,72.4,94
passes,pass,true,true,false,,44.2,66.4,55.8,91.2
passes,pass,true,true,false,,38.1,87.9,31.6,69.7
passes,pass,true,true,false,,39.9,62.5,38.1,42.3
passes,pass,true,true,false,,27.3,63.9,22.7,40.3
passes,pass,true,,false,true,15.3,10.2,34,37.5
passes,pass,true,true,false,,14.7,39.1,9.7,45
passes,pass,true,,false,true,35.6,66.7,89.1,32.4
passes,pass,true,true,false,,51.6,15.6,56,1.9
passes,pass,true,true,false,,43.8,65.1,37.3,68.1
passes,pass,true,true,false,,45,65.1,36.6,42.7
passes,pass,true,true,false,,76,67.5,63.9,69.4
passes,pass,true,true,false,,32.8,47.1,34.8,12.3
passes,pass,true,,false,,91.6,40.8,90.3,48
passes,pass,true,true,false,,70.4,63.9,75.9,95.2
passes,pass,true,true,false,,67.2,77.5,63.1,46.5
dribbles,dribble,true,true,false,,61.5,57.4,,
defensive,ball-recovery,true,true,false,,29.9,22.9,,
defensive,block,true,true,false,,11.1,40.4,,
defensive,clearance,true,true,false,,2.7,46.3,14.4,46
defensive,ball-recovery,true,true,false,,49.3,14.1,,
defensive,block,true,true,false,,15.6,67.3,,
defensive,interception,true,true,false,,31.6,37.1,,
defensive,clearance,true,true,false,,27.1,22.2,34.5,27
defensive,clearance,true,true,false,,17.1,64.9,24.7,55.8
defensive,ball-recovery,true,true,false,,24.5,63.1,,
defensive,tackle,true,,false,,21,47.7,,
defensive,ball-recovery,true,true,false,,39.4,88.9,,
defensive,ball-recovery,true,true,false,,51.4,15.6,,
defensive,clearance,true,true,false,,9.6,59.4,41.2,58.2
ball-carries,ball-carry,true,,,,44.4,57.5,46.4,64.5
ball-carries,ball-carry,true,,,,57.3,52.6,58,47.8
ball-carries,ball-carry,true,,,,40.9,51.6,46.1,49.8
ball-carries,ball-carry,true,,,,52.6,55.5,56.5,64.6
ball-carries,ball-carry,true,,,,63.7,30.1,64.5,25
ball-carries,ball-carry,true,,,,61.7,26.6,59.3,30.3
ball-carries,ball-carry,true,,,,63.5,88,65,80.5
ball-carries,ball-carry,true,,,,25.2,68.5,45.3,54.1
ball-carries,ball-carry,true,,,,55,35.1,58,36.1
ball-carries,ball-carry,true,,,,41.4,56.5,55.6,61.5
ball-carries,ball-carry,true,,,,48.3,56.5,61.4,60.6
ball-carries,ball-carry,true,,,,48.7,53.5,52,52.8
ball-carries,ball-carry,true,,,,75.9,61.6,72.7,57.6
ball-carries,ball-carry,true,,,,24.7,55.8,24.5,63.1
ball-carries,ball-carry,true,,,,24.5,63.1,23.6,56.1
ball-carries,ball-carry,true,,,,25.4,60.7,25.2,53.8
ball-carries,ball-carry,true,,,,50.3,70.3,52.5,76
ball-carries,ball-carry,true,,,,36.1,70,39.9,62.5
ball-carries,ball-carry,true,,,,28.9,69.3,27.3,63.9
ball-carries,ball-carry,true,,,,25.9,50.2,32.8,47.1
ball-carries,ball-carry,true,,,,62.4,52.3,70.4,63.9
