category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,36.8,21.1,10.5,34.3
passes,pass,true,true,false,,27.6,52.8,12.5,37.3
passes,pass,true,true,false,,65.4,68.9,62,37.5
passes,pass,true,true,true,,61.6,39.4,71.4,57
passes,cross,true,true,false,,69.5,80.4,87,50.7
passes,pass,true,true,false,,62.7,41.1,63.5,9.7
passes,pass,true,true,false,,60.4,35.2,54.6,57.1
passes,pass,true,true,false,,64.7,16.4,72.3,57.7
passes,pass,true,true,false,,37.1,59.4,27.2,35.4
passes,pass,true,true,false,,37.5,75.6,41,94.6
passes,pass,true,true,false,,61.6,64,63.2,34.5
passes,pass,true,true,false,,70,47.5,73.6,54.6
passes,pass,true,true,false,,55.7,50.4,62.5,67
passes,pass,true,,false,true,54.3,40.8,96,33.6
passes,pass,true,true,false,,55.6,63,68.1,93.4
passes,pass,true,true,false,,32.8,49.8,33.4,26.7
passes,pass,true,true,false,,50.8,87.3,59.5,68.4
passes,pass,true,true,false,,59.1,74.7,53.2,55.3
passes,pass,true,true,false,,36.6,53.5,48.9,82.8
dribbles,dribble,true,,false,,66.4,47.7,,
defensive,clearance,true,true,false,,10.8,54.9,26.4,100
defensive,ball-recovery,true,true,false,,66.5,42.1,,
defensive,ball-recovery,true,true,false,,17.2,48.7,,
defensive,block,true,true,false,,22.4,43.7,,
defensive,ball-recovery,true,true,false,,66,13.5,,
defensive,tackle,true,,false,,70.5,9.8,,
defensive,clearance,true,true,false,,11.4,55.6,33.2,34.8
defensive,interception,true,true,false,,66,10.6,,
defensive,clearance,true,true,false,,13.7,54.1,16.1,55.5
defensive,ball-recovery,true,true,false,,50.8,87.3,,
defensive,ball-recovery,true,true,false,,59.1,74.7,,
ball-carries,ball-carry,true,,,,60.4,70.3,65.4,68.9
ball-carries,ball-carry,true,,,,66.5,42.1,61.6,39.4
ball-carries,ball-carry,true,,,,17.2,48.7,18.1,44.4
ball-carries,ball-carry,true,,,,58,51,66.4,47.5
ball-carries,ball-carry,true,,,,39.3,81.6,37.5,75.6
ball-carries,ball-carry,true,,,,58.2,74.4,61.6,64
ball-carries,ball-carry,true,,,,46.6,55.3,55.7,50.4
ball-carries,ball-carry,true,,,,46.3,62.4,55.6,63
