category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,false,true,false,,22.9,57.6,38.6,37.8
passes,pass,false,true,false,,52.5,38.8,49.1,63.9
passes,pass,false,true,false,,34.3,90.2,38.7,98.2
passes,pass,false,true,false,,31.1,76.3,27.8,44.4
passes,pass,false,true,false,,54.3,45.6,47.7,58.9
passes,pass,false,true,false,,40.2,45.3,50.8,65.4
passes,pass,false,true,false,,66.5,53.8,69.2,68.7
passes,pass,false,true,false,,58.2,49.9,54.1,60.9
passes,pass,false,true,false,true,55.7,46.5,82,3.9
passes,cross,false,,false,true,69.6,22.2,100,66.4
passes,pass,false,true,false,,33.2,61.8,32.6,68.2
passes,pass,false,true,false,,50.7,51.1,47.3,36.9
passes,pass,false,true,false,,57.7,35.1,59.3,64.2
passes,pass,false,,false,true,36.5,57.6,42.8,0
passes,pass,false,,false,,43.2,25.3,66.5,0
passes,pass,false,true,false,,33,77.7,13.6,48.7
passes,pass,false,true,false,,58.7,50.2,61.2,28.3
passes,pass,false,true,false,,46.9,71.4,43.6,45.9
passes,pass,false,true,false,,45,57.4,58.4,82.6
passes,pass,false,true,false,,38.6,38.2,46.5,45
passes,pass,false,true,false,,43.9,66.7,34.7,54.1
passes,pass,false,true,false,,63,64.6,57.9,45.6
passes,pass,false,true,false,,61.2,63.7,61.2,32.4
passes,pass,false,,false,,63.5,57.9,88,35.1
passes,pass,false,true,false,,26.8,49.5,28,86.8
passes,pass,false,true,false,,31.4,78.3,29.7,37.8
passes,pass,false,true,false,,62.1,70.8,70,86.4
passes,pass,false,true,false,,61.7,68.8,64.2,85.2
passes,pass,false,true,false,,61.4,62.8,60.6,35.2
passes,pass,false,true,false,true,34.1,64.6,41.6,17.8
passes,pass,false,true,false,,64.4,29.7,60.1,15.1
passes,pass,false,true,false,,33,35.4,41.4,28.6
passes,pass,false,true,false,,70.1,53.8,60.3,47.7
passes,pass,false,true,false,,57.3,24.6,58.5,41.4
passes,pass,false,true,false,,60.7,39.1,61.5,48
passes,pass,false,true,false,true,54.3,42.7,85.3,28.8
passes,pass,false,true,false,,39.1,27.6,28.9,36.4
passes,pass,false,true,false,,62.7,47.7,81.5,38.4
defensive,clearance,false,true,false,,21.3,27.1,32.2,20.5
defensive,interception,false,true,false,,45.3,36.7,,
defensive,tackle,false,,false,,37.8,95.3,,
defensive,interception,false,true,false,,28.5,8.5,,
defensive,clearance,false,true,false,,10.5,65.2,16.2,60.6
defensive,block,false,true,false,,23.8,52.2,,
defensive,tackle,false,,false,,39.2,62,,
defensive,tackle,false,true,false,,13.1,43.4,,
defensive,tackle,false,,false,,27.1,38.6,,
defensive,clearance,false,true,false,,15.5,78.6,33.9,79.5
defensive,clearance,false,true,false,,11.3,56.2,40.9,34.8
ball-carries,ball-carry,false,,,,47.3,40.6,52.5,38.8
ball-carries,ball-carry,false,,,,65.9,61.5,71.7,51.2
ball-carries,ball-carry,false,,,,48,55.3,50.7,51.1
ball-carries,ball-carry,false,,,,53.7,12.3,57.7,35.1
ball-carries,ball-carry,false,,,,31.3,58.3,36.5,57.6
ball-carries,ball-carry,false,,,,41.8,65.5,45,57.4
ball-carries,ball-carry,false,,,,59.8,59.4,63.5,57.9
ball-carries,ball-carry,false,,,,59.3,70,61.4,62.8
ball-carries,ball-carry,false,,,,55.9,42,64.4,29.7
ball-carries,ball-carry,false,,,,57.4,19.3,57.3,24.6
