category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,50.2,49.9,28.7,49
passes,pass,true,true,false,,37.4,90.7,54,92.1
passes,pass,true,true,false,,44.9,80.5,57.4,92.1
passes,pass,true,true,false,,53.1,36.6,57.1,31.9
passes,pass,true,true,false,,45.2,46,48.2,88.9
passes,pass,true,true,false,,37.4,56.8,41.2,28.2
passes,pass,true,true,false,,44.7,67.3,56.4,96
passes,pass,true,true,false,,59,48.3,49.5,45.7
passes,pass,true,true,false,,61.6,75.6,56.4,61.6
passes,pass,true,true,false,true,48.4,74.5,63.8,7.5
passes,pass,true,true,false,,56.5,73.6,41.3,67.5
passes,pass,true,true,false,,40.1,67.6,35.6,64.3
passes,pass,true,true,false,,38.3,79,59,73.9
passes,pass,true,,false,,51.7,49.3,71.6,48.6
passes,pass,true,true,false,true,62.2,83.1,94.5,73
passes,pass,true,true,false,,68.9,82.6,73.1,66.9
passes,pass,true,true,false,,32.3,27.2,44.7,26
passes,pass,true,true,true,true,36.9,61.5,80,38.2
passes,pass,true,true,false,,53.5,55.9,35.7,57.6
passes,pass,true,true,false,,43.3,73.6,59,76.3
passes,pass,true,true,false,,71.1,78.1,85.8,76.6
passes,pass,true,true,false,,39.7,78,47.1,73
passes,pass,true,true,false,,37.9,78.1,25.5,83.2
passes,pass,true,true,false,,36.1,81.3,38.1,67.5
passes,pass,true,true,false,,43.9,87.1,59.6,94
passes,pass,true,true,false,,51.3,89.1,63.2,89.8
passes,pass,true,true,false,,56.3,85.4,51.9,65.4
passes,pass,true,true,false,,59.5,83.4,70.9,85.2
passes,pass,true,true,false,,59.2,84.4,58,57.7
passes,pass,true,true,false,,67.2,82.9,79,97.3
passes,pass,true,true,false,,70.7,85.2,78,85.3
passes,pass,true,true,false,,45.7,90.3,31.5,81.9
passes,pass,true,true,false,,40.6,60.4,27.6,56.7
passes,pass,true,true,true,true,41.5,59.5,73.6,71.1
passes,pass,true,true,false,,47,90.4,62.1,84.7
passes,pass,true,true,false,,18.7,48.3,26.1,46.5
passes,pass,true,,false,true,26.7,62.1,66.9,64.5
passes,pass,true,true,false,,46.9,85.8,55.8,95.5
passes,pass,true,true,false,,36.8,78.7,57.9,96.6
passes,pass,true,true,false,,54.5,87.3,56.7,67.8
passes,pass,true,,false,,56.7,85.5,68.2,78.7
passes,pass,true,true,false,,39.2,74.5,40.7,64.2
passes,pass,true,true,false,,43.1,72.6,33,67
passes,pass,true,true,false,,41.5,68.7,49.9,91.2
passes,pass,true,true,false,,52.4,89.1,65.2,87
passes,pass,true,true,false,,73.1,72.6,84.2,89.4
passes,pass,true,true,false,,71.5,83.7,67.8,94.3
passes,pass,true,true,false,,61.2,76,55.4,63.6
dribbles,dribble,true,,false,,72,96.6,,
defensive,ball-recovery,true,true,false,,56.5,73.6,,
defensive,ball-recovery,true,true,false,,72.4,96.3,,
defensive,ball-recovery,true,true,false,,40.1,67.6,,
defensive,ball-recovery,true,true,false,,70.2,80.5,,
defensive,interception,true,true,false,,28.7,29.6,,
defensive,ball-recovery,true,true,false,,44.8,87.1,,
defensive,tackle,true,true,false,,41.2,83.8,,
defensive,ball-recovery,true,true,false,,39.7,78,,
defensive,ball-recovery,true,true,false,,54.6,84.4,,
defensive,interception,true,true,false,,18.1,71.3,,
defensive,ball-recovery,true,true,false,,18.7,48.3,,
defensive,interception,true,true,false,,30.7,89.1,,
defensive,ball-recovery,true,true,false,,38.5,75.7,,
ball-carries,ball-carry,true,,,,42.1,90.2,44.9,80.5
ball-carries,ball-carry,true,,,,42.7,43.5,45.2,46
ball-carries,ball-carry,true,,,,42.3,46.6,42.2,32.1
ball-carries,ball-carry,true,,,,59.5,84.4,61.6,75.6
ball-carries,ball-carry,true,,,,44,86.7,48.4,74.5
ball-carries,ball-carry,true,,,,33.4,32.4,32.3,27.2
ball-carries,ball-carry,true,,,,44.8,87.1,45.3,95.7
ball-carries,ball-carry,true,,,,40.8,88,43.9,87.1
ball-carries,ball-carry,true,,,,52.8,88.6,56.3,85.4
ball-carries,ball-carry,true,,,,62.2,83.2,59.2,84.4
ball-carries,ball-carry,true,,,,54.6,84.4,44,0
ball-carries,ball-carry,true,,,,38.1,82.8,47,90.4
ball-carries,ball-carry,true,,,,38.3,87.1,38.5,75.7
ball-carries,ball-carry,true,,,,48.7,89.2,52.4,89.1
