category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,49.8,50.4,27.4,49.8
passes,pass,true,true,false,,41.6,63,36.2,35.2
passes,pass,true,,false,true,45.2,67.8,86.7,69
passes,pass,true,true,false,,64,90.3,64.4,68.4
passes,pass,true,true,false,,62.8,87.7,52.9,44.8
passes,pass,true,true,false,,66.2,78.1,71.4,93.4
passes,pass,true,true,false,,47.6,93.4,53.3,73.2
passes,pass,true,true,false,true,46.4,89.7,37.9,44.4
passes,pass,true,true,false,,61.6,79.6,69.8,80.5
passes,pass,true,true,false,,64.7,88.3,65,83.1
passes,pass,true,true,false,,12.5,90.1,6.8,96.3
passes,pass,true,true,false,,43.3,80.3,33.8,45.4
passes,pass,true,true,false,,44.1,81.4,38.8,39.1
passes,pass,true,true,false,,45.9,58.3,38,50.7
passes,pass,true,true,true,,79.8,73.9,88.5,70.9
passes,pass,true,true,false,,63.7,83.4,68.6,87.7
passes,cross,true,,false,,97.2,80.1,97.2,78
passes,pass,true,true,false,,62.7,93.6,63.6,76.9
passes,pass,true,true,false,,60.5,86.5,53.4,50.1
passes,pass,true,true,false,,66.5,83.8,68.4,62.7
passes,pass,true,,false,true,66.2,62.4,83.7,0
passes,pass,true,true,false,,57.9,48,59.3,13.6
passes,pass,true,true,false,,56.7,33.3,63,7.8
passes,pass,true,true,false,,63,19.8,57.7,51.4
passes,pass,true,true,false,,49.8,50.5,26.2,46.5
passes,pass,true,true,false,,62.3,83.4,74.2,93.9
passes,pass,true,true,false,,63.5,61.6,72.6,68.2
passes,pass,true,true,false,,81.6,54.6,89.7,75.8
passes,pass,true,true,false,,82.6,69,88.2,78.4
passes,pass,true,,false,,74.6,75,100,76.1
passes,pass,true,,false,,69.2,67.6,88.8,72.9
passes,pass,true,true,false,,64.9,62.1,70.3,98.1
passes,pass,true,true,false,,60,66.4,59.7,38.2
passes,pass,true,true,false,,61.2,59.4,72.9,50.7
passes,pass,true,true,false,,67,68.2,78.3,97.2
passes,pass,true,true,false,,66.5,77.4,58.1,65.5
passes,pass,true,true,true,,70.9,64.6,70.2,61
passes,pass,true,true,false,,66.1,74.4,73.6,75.1
passes,pass,true,true,false,,64.8,75.4,75.8,91.8
passes,pass,true,true,false,,67.9,73.3,79.7,96.6
passes,cross,true,,false,true,69.9,80.8,91.7,43.4
passes,pass,true,,false,true,23.6,90.6,48.6,67.9
passes,pass,true,,false,,44.7,83.8,57.1,72.6
passes,pass,true,,false,,73.8,70.5,75.3,70.2
dribbles,dribble,true,,false,,89.6,60.2,,
defensive,ball-recovery,true,true,false,,23.7,85.2,,
defensive,ball-recovery,true,true,false,,45.9,58,,
defensive,tackle,true,true,false,,35.8,57.5,,
defensive,ball-recovery,true,true,false,,74,72.3,,
defensive,tackle,true,true,false,,38.3,96.2,,
ball-carries,ball-carry,true,,,,43.6,91.8,47.6,93.4
ball-carries,ball-carry,true,,,,14,86.5,23.7,85.2
ball-carries,ball-carry,true,,,,23.7,85.2,18.2,87.7
ball-carries,ball-carry,true,,,,59.3,79.3,63.7,83.4
ball-carries,ball-carry,true,,,,63.7,86.7,60.5,86.5
ball-carries,ball-carry,true,,,,65.2,54.3,57.9,48
ball-carries,ball-carry,true,,,,59.1,11.7,63,19.8
ball-carries,ball-carry,true,,,,66.4,69.3,69.2,67.6
ball-carries,ball-carry,true,,,,62.7,56.4,64.9,62.1
