category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,,false,,58.7,30.4,60.6,33
passes,pass,true,true,false,,34.1,14.8,26.6,13.2
passes,pass,true,true,false,,56.9,11.2,51.9,27.4
passes,pass,true,true,false,,70,30,80.8,10.6
passes,pass,true,true,false,,24.7,23.8,28.4,30
passes,pass,true,true,false,,56.1,43.8,71.6,67.5
passes,pass,true,true,false,,46.4,48,35.7,46.2
passes,pass,true,,false,true,43.9,25,93.2,61.6
passes,pass,true,true,false,,61,46.9,46.2,55.8
passes,pass,true,true,false,,69.4,71.8,69.1,81
passes,pass,true,,false,,65.8,57.7,76,57.4
passes,pass,true,,false,,68.6,13.2,65.2,13
passes,pass,true,true,false,,49.7,50.1,27.1,51.1
passes,pass,true,,false,,22.2,34,19.7,31.3
passes,pass,true,,false,,26.4,41.1,35.6,19.8
passes,pass,true,true,false,,58.2,84.4,71.6,87.3
passes,pass,true,,false,,45.2,81.6,72.2,79.5
passes,pass,true,true,false,,47,87.9,58,96
passes,pass,true,true,false,,56.7,86.1,67.8,96.1
passes,pass,true,true,false,,66.1,83.8,69,69.3
passes,pass,true,true,false,,73.7,54.6,74.5,41.7
passes,pass,true,true,false,,64.4,67.5,59.7,67.3
passes,cross,true,,false,true,70.2,78.3,88,0
passes,pass,true,true,false,,71.4,94.5,63.8,87.9
passes,pass,true,true,false,,63.7,78.7,62.1,87.3
passes,pass,true,true,false,,66.3,82.5,76.1,93.9
passes,pass,true,true,false,,67,83.2,57.2,92.2
passes,pass,true,true,false,,60.6,73.6,55.5,41.7
passes,throw-in,true,true,true,true,70.4,100,89.6,67.3
passes,pass,true,true,false,,67.4,76.5,57.2,50.7
passes,pass,true,true,false,,66,73.9,58.1,90.9
passes,pass,true,true,false,,64.5,63.7,56.5,42.7
passes,pass,true,true,false,,71.1,63.7,63.6,72
passes,pass,true,true,false,,64.6,68.8,74.1,95.2
passes,pass,true,true,false,,71.6,78.6,69.3,81.3
passes,pass,true,true,false,,43.7,83.4,37.6,94.6
passes,pass,true,true,false,,22.4,91.6,19.5,83.7
passes,pass,true,true,false,,54.7,70.2,38.8,59.5
passes,pass,true,true,false,,78.9,57.9,81.2,82
passes,pass,true,true,false,,62.9,63.9,61.6,87.7
passes,pass,true,,false,,51.3,68.4,74.8,81.3
dribbles,dribble,true,true,false,,43.4,8.9,,
dribbles,dribble,true,,false,,60.2,10,,
dribbles,dribble,true,,false,,61,8.7,,
dribbles,dribble,true,true,false,,64,78,,
defensive,tackle,true,,false,,46.7,9.4,,
defensive,clearance,true,true,false,,12.7,30.6,7.2,62.8
defensive,block,true,true,false,,20.2,32.8,,
defensive,interception,true,true,false,,63.4,26.9,,
defensive,tackle,true,true,false,,17.8,46.6,,
defensive,ball-recovery,true,true,false,,58.2,84.4,,
defensive,tackle,true,,false,,71.4,38,,
defensive,tackle,true,,false,,70.6,36,,
defensive,clearance,true,true,false,,16.7,56.2,20.7,73.6
defensive,ball-recovery,true,true,false,,25.3,64.9,,
defensive,clearance,true,true,false,,25.1,69.7,40.8,69.6
defensive,ball-recovery,true,true,false,,14.2,86.8,,
ball-carries,ball-carry,true,,,,39.3,11.1,44.2,8.5
ball-carries,ball-carry,true,,,,55.3,35.5,56.1,43.8
ball-carries,ball-carry,true,,,,33.9,18.4,43.9,25
ball-carries,ball-carry,true,,,,68.3,63,69.4,71.8
ball-carries,ball-carry,true,,,,55.1,46.3,65.8,57.7
ball-carries,ball-carry,true,,,,43.8,87.3,47,87.9
ball-carries,ball-carry,true,,,,64.2,87.3,66.1,83.8
ball-carries,ball-carry,true,,,,67.4,89.4,70.1,84.4
ball-carries,ball-carry,true,,,,62.2,81.3,66.3,82.5
ball-carries,ball-carry,true,,,,63.6,79.2,60.6,73.6
ball-carries,ball-carry,true,,,,33,77.5,35.8,80.6
ball-carries,ball-carry,true,,,,14.2,86.8,22.4,91.6
ball-carries,ball-carry,true,,,,48.3,68.7,54.7,70.2
ball-carries,ball-carry,true,,,,47.4,66.3,51.3,68.4
