category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,false,true,false,,39.2,71.4,33.7,70.2
passes,pass,false,true,false,,53.9,60.7,58.8,88.2
passes,pass,false,,false,,72.4,81,78.5,81.7
passes,pass,false,true,false,,69.1,84,69.2,94
passes,pass,false,true,false,,60.1,90.6,77.8,92.7
passes,pass,false,true,false,,40.5,82.8,64.4,83.2
passes,pass,false,true,false,,58.3,52.3,68.3,59.2
passes,pass,false,true,false,,57.7,65.4,60.1,74.7
passes,pass,false,true,false,,57.9,67.2,50.8,37.6
passes,pass,false,true,false,,33.9,92.2,42,82.2
passes,pass,false,true,false,,41.4,84.6,44.7,92.5
passes,pass,false,true,false,,50.8,65.4,64.9,68.5
passes,pass,false,true,false,,59.5,67.6,70.6,92.2
passes,pass,false,true,false,,62.4,85.6,51.4,75.6
passes,pass,false,,false,,67.2,87.9,71.2,84
passes,pass,false,true,false,,67.3,68.4,54.5,59.8
passes,pass,false,true,false,,62.7,77.1,57,62.1
passes,pass,false,true,false,,61.9,85.8,60.6,94.9
passes,pass,false,true,false,,59.6,84.1,71,67.8
passes,pass,false,true,false,,78.6,35.7,84.4,66.1
passes,pass,false,true,false,,54.8,79.9,40.2,40.3
passes,pass,false,true,false,,52.5,85.5,64.5,96
passes,pass,false,true,false,,53.3,81.9,42.7,44.7
passes,pass,false,true,false,,66.3,71.7,76.3,71.2
passes,pass,false,,false,,20.6,92.4,36.8,63.6
passes,pass,false,true,false,,61.7,73.3,63.9,65.4
passes,pass,false,true,false,,62.1,82.8,81.4,95.8
passes,pass,false,true,false,,71.8,86.5,74.8,71.4
passes,pass,false,true,false,,72.2,85.3,63.2,72.9
passes,pass,false,true,false,,69.1,84.7,77,82.2
passes,pass,false,,false,,24,94.6,46,74.2
passes,pass,false,true,false,,60.6,66.9,58.2,52.3
passes,pass,false,,false,true,65.6,77.1,88.5,27.3
passes,pass,false,true,false,,58.1,90.9,46.9,71.5
passes,pass,false,true,true,,65,60.7,69.4,70.8
passes,pass,false,,false,,47.3,45.9,74.9,58.6
passes,pass,false,true,false,,68.2,79.3,75.7,93.1
passes,pass,false,true,false,,65.2,90.1,66.3,79
passes,pass,false,true,false,,68.6,90.3,62.7,66.6
passes,cross,false,,false,,74.7,26.5,93.5,53.4
passes,pass,false,true,false,,61.9,83.8,62.5,86.7
passes,pass,false,true,false,,71.1,74.8,68,78.6
passes,pass,false,true,false,,69.4,85.3,60.8,69.9
passes,pass,false,true,true,,64.7,71.5,85.7,62.4
passes,cross,false,,false,true,99.5,0.5,95,59.5
passes,pass,false,true,false,,50.2,50.1,25,49.6
passes,pass,false,,false,,43.7,92.2,45.4,94.2
passes,pass,false,,false,,33.4,91,53.3,90.1
passes,pass,false,true,false,,34.7,77.5,33.7,40.6
passes,pass,false,true,true,,56.3,51.9,80.8,64.2
passes,pass,false,true,false,,77,88.6,76.2,97.6
passes,pass,false,true,false,,68.3,80.1,77.1,95.1
passes,pass,false,true,true,,64.9,91.6,66.1,79.9
passes,pass,false,true,false,,49,72.9,66.6,72.7
passes,pass,false,true,false,,32.2,96.7,24.7,73.8
passes,pass,false,true,false,,58.6,41.4,58.6,36.6
passes,pass,false,true,false,,63.1,50.4,64,36
passes,pass,false,true,false,,66.7,42.3,62.3,47.7
dribbles,dribble,false,true,false,,13.3,94.1,,
dribbles,dribble,false,,false,,31.5,86.2,,
defensive,ball-recovery,false,true,false,,63.5,91.2,,
defensive,ball-recovery,false,true,false,,67.3,68.4,,
defensive,clearance,false,true,false,,5.8,68.4,50.7,100
defensive,tackle,false,true,false,,4.2,80,,
defensive,ball-recovery,false,true,false,,3.8,81.3,,
defensive,interception,false,true,false,,67.3,91.1,,
defensive,ball-recovery,false,true,false,,58,88,,
defensive,ball-recovery,false,true,false,,46.5,45.1,,
defensive,ball-recovery,false,true,false,,39,41.4,,
ball-carries,ball-carry,false,,,,45.3,56.5,53.9,60.7
ball-carries,ball-carry,false,,,,36.1,81.3,40.5,82.8
ball-carries,ball-carry,false,,,,38.3,84.7,41.4,84.6
ball-carries,ball-carry,false,,,,54,66.9,59.5,67.6
ball-carries,ball-carry,false,,,,55.2,83.8,59.6,84.1
ball-carries,ball-carry,false,,,,43.7,86.2,54.8,79.9
ball-carries,ball-carry,false,,,,51.5,88.9,53.3,81.9
ball-carries,ball-carry,false,,,,3.8,81.3,13.3,94.7
ball-carries,ball-carry,false,,,,22.1,85.8,31.4,85.5
ball-carries,ball-carry,false,,,,20.4,88.6,24,94.6
ball-carries,ball-carry,false,,,,62.3,77.7,65.6,77.1
ball-carries,ball-carry,false,,,,62.5,77.9,61.9,83.8
ball-carries,ball-carry,false,,,,35.9,85.6,34.7,77.5
ball-carries,ball-carry,false,,,,39.2,46.8,56.3,51.9
ball-carries,ball-carry,false,,,,65.7,76.9,68.3,80.1
ball-carries,ball-carry,false,,,,43.3,68.1,49,72.9
ball-carries,ball-carry,false,,,,39,41.4,41.9,42.3
