category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,74.8,20.8,79.2,9.2
passes,pass,true,true,false,,47.6,58.5,60.4,86.8
passes,pass,true,true,false,,43.3,86,54.7,96.3
passes,pass,true,,false,,67.7,70.5,90.2,45.1
passes,pass,true,true,false,,69.4,82.6,67.5,68.9
passes,pass,true,true,false,,75.4,72.3,74.3,68.2
passes,pass,true,true,false,,75.2,76.2,78.8,91.5
passes,pass,true,true,false,,71.2,71.2,73.2,35.7
passes,pass,true,true,false,,80.3,56,75.8,65
passes,pass,true,true,false,,53.5,66,46.9,40.5
passes,pass,true,true,false,,65.4,52.9,64.9,72.8
passes,pass,true,true,false,,73.1,73.7,76.2,29.1
passes,pass,true,true,false,,42.8,37.2,56.9,53.4
passes,pass,true,true,false,,42,65.7,49.8,93.8
passes,pass,true,true,false,,52.7,65.2,71.3,92.5
passes,pass,true,true,false,,42,65.7,35.6,44.9
passes,pass,true,true,false,,54.1,65.5,46.9,41.2
passes,pass,true,,false,true,45.6,43.8,100,15.7
passes,pass,true,true,false,,72.1,82.3,85.3,65.2
passes,pass,true,,false,,73.5,48.9,77.8,49.3
passes,pass,true,true,false,,67.1,51.1,65.9,67.4
passes,pass,true,,false,true,67.8,56.6,98.1,74
passes,pass,true,true,false,,37.8,51.2,29.7,41.4
passes,pass,true,true,false,,61.8,64.2,72,46.9
passes,pass,true,true,false,,71.9,42.9,85.1,19.2
passes,pass,true,true,false,,37.8,37.4,34.6,44.5
passes,pass,true,true,false,,71.9,77.4,70,62.3
passes,pass,true,true,false,,71.7,48.5,61.9,48.2
passes,pass,true,true,false,,77,82,87,77.5
passes,pass,true,true,false,,75.1,90.2,72.6,73.4
passes,pass,true,,false,,65.4,32.8,66.9,30
passes,pass,true,true,false,,69,61.2,71.1,51.8
passes,pass,true,true,false,,86.2,26.3,81.9,36.6
passes,pass,true,,false,,79.3,29.5,85.9,24.5
passes,pass,true,true,false,,74.9,42.9,74.4,21.5
passes,pass,true,,false,,72,40.3,89.6,36.3
passes,pass,true,true,false,,47.4,36,46.1,52.6
passes,pass,true,true,false,,16.4,84.2,34,89.2
passes,pass,true,true,false,,31.5,69.8,36.9,37.1
passes,pass,true,true,false,,65.5,49.8,65,39.7
passes,pass,true,true,false,,68.6,56.8,70.1,76.6
passes,pass,true,true,false,,77,61.8,87.2,62.2
passes,pass,true,true,false,,69.6,58.9,73.7,34
