category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,58.7,34.4,70.4,8
passes,pass,true,true,false,,65.7,30.1,57,47.1
passes,pass,true,true,false,,64.4,69.3,64.2,40.4
passes,pass,true,true,false,true,66.5,58.5,73.6,4.8
passes,cross,true,,false,,95.3,8.2,98.2,45.6
passes,pass,true,,false,,60.6,67,84.6,45.5
passes,pass,true,true,false,,64.4,90.9,61.6,74.7
passes,pass,true,true,false,,69.1,40.6,85.1,7.9
passes,pass,true,,false,,73.1,8.9,76.5,17.9
passes,pass,true,true,false,,63.9,46.8,61.6,66.1
passes,pass,true,true,false,,65.8,44.1,77.8,6.9
passes,cross,true,,false,,99.5,0.5,91.1,39.4
passes,cross,true,,false,,93.3,7.7,96.9,50.3
passes,pass,true,,false,,78.1,72,82.3,68.2
passes,pass,true,,false,,71.7,26.8,73.1,28.5
passes,pass,true,true,false,,68.9,85.9,71,96.1
passes,pass,true,true,false,,63.9,56.4,63.9,37.6
passes,pass,true,true,false,,66.6,24.8,72.6,19.8
passes,pass,true,true,false,,66.9,55.2,56,35
passes,pass,true,true,false,,74,87.6,69.6,94.6
passes,pass,true,true,false,,63.9,50.8,67.3,28.3
passes,pass,true,true,false,,71.3,54.4,86.9,75.2
passes,pass,true,,false,,66.5,50.6,74.5,42.9
passes,pass,true,true,false,true,70.3,72.7,83.9,17.3
passes,pass,true,true,false,,46.6,43.8,58,31
passes,pass,true,true,false,,72.5,49.8,72.4,65.6
passes,pass,true,true,false,,74.3,63.6,82,93.5
passes,pass,true,true,false,,73.8,41.7,74.8,38.9
passes,cross,true,true,true,,99.5,99.5,95.8,53.4
passes,pass,true,true,false,,87.5,95.2,84.5,74.9
passes,pass,true,true,false,,56.8,83.8,61.3,85.9
passes,pass,true,true,false,,40,69.7,38.9,23.5
passes,pass,true,true,false,true,52.9,59.1,71.8,96.2
passes,pass,true,true,false,,75,87.1,77,71.7
passes,pass,true,true,false,,52.6,83.5,58.7,93.2
passes,pass,true,true,false,,48,70.9,45.8,41.1
passes,pass,true,true,false,,70.7,45.8,72.8,29.5
passes,pass,true,true,false,,71,71.4,66.1,73
passes,pass,true,true,false,,80.1,71.7,80.7,57.3
passes,pass,true,true,false,,75,68.8,90.3,88.5
passes,cross,true,,false,true,99.5,0.5,93,48.2
passes,cross,true,true,true,,99.5,99.5,96.2,58.4
passes,pass,true,true,false,,71.7,46.1,78.6,30.9
passes,pass,true,true,false,,76.7,27.7,71.3,26
passes,pass,true,,false,,71.8,75.5,73.2,80.6
passes,pass,true,true,false,,70.8,74.9,70.4,40.1
passes,cross,true,true,true,,96.6,82.6,90.6,50.9
passes,pass,true,true,false,,76.2,65.3,79.4,64.4
passes,pass,true,true,false,,71.6,62.7,87.3,55.3
passes,pass,true,true,false,true,51.1,70.6,59.4,17.9
passes,pass,true,true,true,,73.8,47.4,81.8,32.3
passes,pass,true,true,false,true,61,58.9,62.1,8.6
passes,pass,true,true,false,,73.6,23.2,81.6,8.8
passes,cross,true,,false,,97.9,14.2,96.8,24.8
passes,pass,true,true,false,,71.1,64.7,67.2,69
passes,pass,true,true,false,,71.4,72.4,81.6,84.6
passes,pass,true,true,true,,77.8,84,90.9,50.5
passes,pass,true,true,false,,73,27.9,75.4,9.5
passes,pass,true,true,false,,99.5,0.5,85.5,5.1
passes,pass,true,,false,,63,32.7,80.1,30.1
passes,cross,true,,false,,99.5,0.5,95.3,43.2
passes,pass,true,true,false,,71.5,23.8,71.3,4.8
passes,pass,true,true,false,,74,84.4,72.1,75
passes,pass,true,true,false,,76.3,84.4,68.4,51.8
passes,pass,true,true,false,,66.7,50.6,69.7,22.7
passes,pass,true,true,false,,72.3,45.9,69,48.6
passes,pass,true,,false,,65.9,56.7,81.6,70.3
passes,pass,true,true,false,,64.9,54.1,63.9,28.5
passes,pass,true,true,false,,73,62.7,70.2,72.1
passes,pass,true,true,false,,62.6,29.5,63.5,51.5
passes,pass,true,true,false,,73.9,73.2,77.8,88.2
passes,pass,true,true,false,,72.7,65.6,77,23.8
passes,cross,true,,false,true,99.5,0.5,90.7,51.7
passes,pass,true,true,false,,43.3,49.8,42.4,70
passes,pass,true,true,false,,74.4,47.9,77.2,68.3
passes,pass,true,,false,,71.8,55.8,71.2,52.6
passes,pass,true,true,false,,70.5,63.5,70.9,31.8
passes,pass,true,true,false,,47.8,65.9,61.4,94.1
passes,pass,true,true,false,,59.2,62.6,58.3,30.6
passes,pass,true,true,false,,70.9,59.7,75,71.5
passes,pass,true,true,false,,69.4,43.2,89.7,23
passes,pass,true,true,false,,81.1,29.1,82.4,25.1
passes,pass,true,,false,,64.2,32.9,79.4,40.1
passes,pass,true,true,false,,75.7,91.2,72.8,68.5
passes,pass,true,true,false,,70.6,60.6,72.3,25.4
passes,pass,true,true,false,,71.6,61.2,73.2,32.6
passes,pass,true,true,false,,71.7,62.7,75.8,80.8
passes,pass,true,true,false,,75.8,72.9,85.7,89.9
passes,pass,true,true,false,,78.5,90.6,75.2,92.1
passes,pass,true,true,false,true,74.2,85,67.4,32.7
passes,pass,true,true,false,,73.6,64.4,72,32.6
passes,pass,true,,false,,71.8,33.5,90,25
passes,pass,true,true,false,,68.1,18.9,64.5,48.6
passes,pass,true,true,false,,33.4,12.4,24.9,12.1
passes,pass,true,true,false,,66.9,30.6,72.3,17.6
passes,pass,true,true,false,,73.1,21.7,77.5,10.7
passes,pass,true,true,false,,68.1,32.3,72.2,47.1
passes,pass,true,true,false,,55.9,17.7,59.6,28.2
passes,pass,true,true,false,,74.1,31.2,82.7,6.8
passes,pass,true,,false,,71,32.9,73.9,34.1
passes,pass,true,true,false,,83.6,17.6,85.6,7.2
passes,pass,true,,false,,72.1,24.2,80.1,32.6
passes,pass,true,true,false,,58.1,36.5,74,7.9
passes,cross,true,,false,true,99.5,99.5,91,50.6
passes,pass,true,true,false,true,63.8,85.6,69.3,37.3
passes,pass,true,true,false,,69.6,47.4,88.2,83
passes,pass,true,true,false,,74.8,72.7,68.8,68.5
passes,pass,true,true,false,,74.1,74.4,69.7,46.2
