category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,false,true,false,,58.4,86.6,51.4,72
passes,pass,false,true,false,,65.2,87.3,69.2,72.3
passes,pass,false,true,false,true,67.7,50.6,78.2,5.6
passes,pass,false,,false,,75.1,26.3,100,29.9
passes,pass,false,true,false,,52.4,65.4,46,36.1
passes,pass,false,true,false,,61.8,30.1,35.3,34.6
passes,pass,false,true,false,,53.9,74.3,61.5,92.4
passes,pass,false,true,false,,59.3,31.6,62.5,6.5
passes,pass,false,true,false,,39.3,16.9,13.8,41.5
passes,pass,false,true,false,,58.5,31.3,55.5,69.5
passes,pass,false,true,false,,45.3,80.7,36.7,72
passes,pass,false,true,false,,45.9,66.2,47.9,69.8
passes,pass,false,true,false,,52,45.2,45.7,20.2
passes,pass,false,true,false,,59.8,35.6,46.6,47
passes,pass,false,true,true,,69.2,35.2,80.3,15.1
passes,pass,false,true,false,,54.4,47.2,48,64.1
passes,pass,false,true,false,,62.8,82.5,57.3,65.3
passes,pass,false,true,false,,56.6,66.9,49.2,32.5
passes,pass,false,true,false,,67.7,76.5,73.5,91.5
passes,pass,false,true,false,,59,73.7,55.2,45.2
passes,pass,false,true,false,,68,60.2,77.3,65.9
passes,pass,false,,false,,96.4,91.7,95.3,93.5
passes,pass,false,true,false,,60.8,83.9,60.1,44.8
passes,pass,false,true,false,,58.6,65.6,70.7,77
passes,pass,false,true,false,,62.4,72.3,57.7,65.3
passes,pass,false,,false,,78.5,71.4,87.8,69
passes,pass,false,true,false,,58.5,36.2,75.5,16.6
passes,pass,false,true,false,,65.2,78.2,61.7,94.8
passes,pass,false,true,false,,41.9,13.1,44.1,30.5
passes,pass,false,true,false,,73.8,77.4,80.8,93.3
passes,pass,false,true,false,,66.6,65,60.6,36.7
passes,pass,false,true,false,,66.4,66.5,71.9,71.7
passes,pass,false,true,false,,71.3,27.7,77.4,24.8
passes,pass,false,,false,,71.7,52.7,74.8,60.5
passes,pass,false,true,false,,62.1,82.7,54.4,80.1
passes,pass,false,true,false,,53.6,27.4,57.9,12.1
passes,pass,false,true,false,,71.8,27.8,84.1,13.9
passes,pass,false,,false,,47.4,57,45,57.8
passes,pass,false,true,false,,45.1,56.1,32.3,69.5
passes,pass,false,true,false,,29.7,57.9,24.8,77.6
passes,pass,false,true,false,,34,75.8,38.6,90.9
passes,pass,false,true,false,,26,93.9,25,76.2
passes,pass,false,true,false,,44,69.8,32.9,68.7
passes,pass,false,true,false,,47.9,56.7,55.5,83.9
passes,pass,false,true,false,,43.9,53.6,40.6,33.4
passes,pass,false,true,false,,51.3,81.8,58.5,73.6
passes,cross,false,,false,,68.2,87.2,82.1,56.1
passes,pass,false,true,false,,60.5,53.1,30.6,48.2
passes,pass,false,true,false,,52.2,67.5,47.3,44.3
dribbles,dribble,false,,false,,27.6,7.6,,
dribbles,dribble,false,true,false,,57,57.3,,
defensive,ball-recovery,false,true,false,,23.7,7.7,,
defensive,tackle,false,,false,,28.6,5.3,,
defensive,block,false,true,false,,13.8,36.4,,
defensive,tackle,false,,false,,68.9,23.6,,
defensive,tackle,false,true,false,,67.2,88.2,,
defensive,ball-recovery,false,true,false,,62.1,82.7,,
defensive,ball-recovery,false,true,false,,42.8,67.1,,
defensive,ball-recovery,false,true,false,,25.1,92.7,,
ball-carries,ball-carry,false,,,,68.6,69.5,67.7,50.6
ball-carries,ball-carry,false,,,,47.9,69.3,52.4,65.4
ball-carries,ball-carry,false,,,,47.6,71.4,53.9,74.3
ball-carries,ball-carry,false,,,,48.7,42.8,59.3,31.6
ball-carries,ball-carry,false,,,,48.5,29,39.3,16.9
ball-carries,ball-carry,false,,,,57.8,23.3,58.5,31.3
ball-carries,ball-carry,false,,,,23.7,7.7,27.9,7.2
ball-carries,ball-carry,false,,,,39.5,62.7,45.9,66.2
ball-carries,ball-carry,false,,,,47.9,57.9,52,45.2
ball-carries,ball-carry,false,,,,55.7,43,69.2,35.2
ball-carries,ball-carry,false,,,,53.4,41.2,54.4,47.2
ball-carries,ball-carry,false,,,,63.1,57.8,68,60.2
ball-carries,ball-carry,false,,,,57.1,90.5,60.8,83.9
ball-carries,ball-carry,false,,,,59.4,60.9,57,57
ball-carries,ball-carry,false,,,,55.3,68.3,65.2,78.2
ball-carries,ball-carry,false,,,,69.4,67.7,66.6,65
ball-carries,ball-carry,false,,,,63.7,62,66.4,66.5
ball-carries,ball-carry,false,,,,70.5,46.6,71.7,52.7
ball-carries,ball-carry,false,,,,42.8,67.1,45.6,71
ball-carries,ball-carry,false,,,,48.4,57.8,45.1,56.1
