category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,41.7,60.8,39.4,79.4
passes,pass,true,true,false,,71.9,56.3,71.5,36.6
passes,pass,true,true,false,,56.9,12,31.8,25.8
passes,pass,true,true,false,,61.5,67.7,68.8,23.1
passes,pass,true,,false,,78.3,98.2,73.9,98.3
passes,pass,true,true,false,,60.9,79.4,51.7,48.3
passes,pass,true,,false,,38.2,36.9,63.6,52.6
passes,pass,true,true,false,,57.4,70.5,46.7,43.6
passes,pass,true,true,false,true,62.8,48,76.3,93.4
passes,pass,true,true,false,,69.9,43.7,65,19.7
passes,pass,true,true,false,,69.4,63.2,71.4,80
passes,pass,true,true,false,,58.9,71.7,63.6,88.5
passes,pass,true,,false,,37.4,35.1,46.6,39.1
passes,pass,true,true,false,,26.1,74.8,17.9,52.3
passes,pass,true,true,false,,55.3,34,46.7,21.8
passes,pass,true,true,false,,48.4,43.1,52.4,66
passes,pass,true,true,false,,35.6,69.5,40.2,79.8
passes,pass,true,true,false,,67.4,50.9,65.9,66
passes,pass,true,true,false,,37.4,28.9,33.1,61.5
passes,pass,true,true,false,,60.2,76.3,65.8,66.9
passes,pass,true,true,false,,29.9,34.2,39.5,42.5
passes,pass,true,true,false,,17.7,12.9,17.3,3.5
passes,pass,true,true,false,,72.2,23.4,89.1,12.6
passes,pass,true,true,false,,59.7,62.8,85.7,85.4
passes,pass,true,true,false,,69.6,65.2,75.4,78
passes,pass,true,true,false,,63.9,30.8,59.7,58
passes,pass,true,true,false,,66.3,26.6,67.5,48.6
passes,pass,true,true,false,,36.7,35.8,30.8,29.5
passes,pass,true,,false,,51.4,38,65.9,47.5
passes,pass,true,true,false,,64.6,76.3,69.6,95.2
passes,pass,true,true,false,,36.4,42,41.2,30
passes,pass,true,true,false,,47.6,52,54.7,12
passes,pass,true,true,false,,70,63.1,72.6,46.8
passes,pass,true,true,false,,72.5,35.8,72,47.1
passes,pass,true,true,false,,50.5,54.2,58.9,85.5
passes,pass,true,true,true,,62.9,69.2,69.2,45.5
passes,pass,true,true,false,true,72.2,69.4,85.9,18.5
passes,pass,true,true,false,,55.5,32.9,68.5,25.1
passes,pass,true,true,false,,42.8,70.3,44.1,91.7
passes,pass,true,true,false,,72.5,29.5,79,23.2
passes,pass,true,true,false,,75,35.7,68.6,68.6
passes,pass,true,true,false,,68.9,64.8,76.3,46.5
passes,pass,true,,false,,71.3,69.1,86.2,28.3
passes,pass,true,true,false,,47.6,48.9,55,30.5
passes,pass,true,true,false,,46.8,51.5,65.6,71.7
passes,pass,true,true,false,,53.8,85.1,46.2,94.2
passes,pass,true,true,false,true,67,47.7,81.4,90
passes,pass,true,true,false,,61.6,37.8,65.5,49.8
passes,pass,true,true,false,,70,41.5,68.6,56.8
passes,pass,true,true,false,,70,49.4,77,61.5
passes,pass,true,true,false,true,15.1,36,45.3,28.6
passes,pass,true,true,false,,47.6,48,44.1,65.4
passes,pass,true,true,false,,66.7,62.2,55.7,67.4
passes,pass,true,true,false,,67.7,42.6,71.3,65.7
passes,pass,true,true,false,,56.1,50.9,59.1,66.2
passes,pass,true,true,false,,67.7,65.5,73.2,63.2
passes,pass,true,true,false,true,68.3,61.4,81.2,9.4
passes,pass,true,true,false,,71,48.6,73.2,56.5
passes,pass,true,true,false,,69.3,52.9,77.1,75.8
passes,pass,true,true,false,,40.4,65.7,60.7,79.4
passes,pass,true,true,false,,59.1,26.5,52.5,14
passes,pass,true,true,false,,41.3,26.3,32.6,24.8
passes,pass,true,true,false,,61.2,38.9,66.5,26.9
passes,pass,true,,false,,27.3,41.2,29.7,38.9
passes,pass,true,true,false,,27.8,29.5,31.3,15.7
passes,pass,true,true,false,,52.4,61.2,63.1,70
passes,pass,true,true,false,,54.9,42.6,51.8,67.5
passes,pass,true,true,false,,58,34.2,53.1,57.2
passes,pass,true,true,false,,49.6,17.2,57.4,3.8
passes,pass,true,true,false,,36.2,20.5,32.8,63.2
passes,pass,true,true,false,,46.1,59.1,38.9,40.2
passes,pass,true,true,false,,55.3,41.8,56.6,69.4
passes,pass,true,true,false,,70.3,54.3,66,23.8
passes,pass,true,true,false,,62.5,49.2,59.9,30.5
passes,pass,true,true,false,,72.9,28,73,61.4
passes,pass,true,true,false,,72.3,32.8,80.4,10.8
passes,pass,true,true,false,,71,62,71.3,95.1
passes,pass,true,true,false,,72.1,78.6,87.1,90.9
passes,pass,true,true,false,,74.1,80,82.4,89.1
passes,pass,true,true,false,,71.8,71.7,67.1,30.3
passes,pass,true,true,false,,45.8,70.3,57.4,96.2
passes,pass,true,true,false,,56.3,84.8,54.4,94.6
passes,pass,true,true,false,,29.7,38.8,32.6,75.5
passes,pass,true,true,false,,46.1,66.6,35.6,70
passes,pass,true,true,false,,52.4,34.2,64.1,55.8
passes,pass,true,true,false,,59.6,14.6,76.9,32
passes,pass,true,true,false,,52.7,17.1,55.6,3.1
passes,pass,true,true,false,,30.9,53.4,42.9,67.1
passes,pass,true,true,false,,29.8,40.2,36.9,29.5
passes,pass,true,true,false,,67.3,53.7,71.9,21.1
passes,pass,true,true,false,,67.5,46.6,61.3,59.8
passes,pass,true,true,false,,28.3,23.3,44,37.4
passes,pass,true,true,false,,11.5,5.4,22.9,6.6
passes,pass,true,true,false,,27.4,14.3,10,16.3
passes,pass,true,true,false,,25.7,35.7,10.1,42.3
passes,pass,true,true,false,,27.3,39.5,29.3,24.3
passes,pass,true,true,false,,50.5,72,57.8,66.5
passes,pass,true,true,false,,46.9,70.6,55,63.5
passes,pass,true,true,false,,44.8,67.7,48.1,35.2
passes,pass,true,true,false,,30,17.7,29.5,4.5
passes,pass,true,true,false,,41,21.7,60.5,8.6
passes,pass,true,true,false,,59.5,17.6,42.9,16.2
passes,pass,true,true,false,,33.7,40.9,22.4,23.4
passes,pass,true,true,false,true,27.7,38.3,33.6,90.6
passes,pass,true,true,false,,64,44.2,66,50.9
passes,pass,true,true,false,,29.4,31.5,26,20.5
passes,pass,true,true,false,,39.6,37.7,44,60.6
passes,pass,true,true,false,,47.7,53.6,40.7,68.7
passes,pass,true,true,false,,54.3,71.1,56.7,83.2
passes,pass,true,true,false,,48.1,74.5,54.5,65.2
passes,pass,true,true,false,,52.8,64.3,37.3,49.8
passes,pass,true,true,false,,71.9,88.6,63.5,55.2
passes,pass,true,true,false,,6.5,71.4,3,59.2
passes,pass,true,true,false,,41.7,29.8,46,35.1
passes,pass,true,true,false,,42.4,40.8,41,59.5
passes,pass,true,true,false,,51,54.9,44.7,78.9
passes,pass,true,true,false,,59.5,65.2,46.1,56.3
passes,pass,true,true,false,true,78.9,94.5,35.5,93.8
passes,pass,true,true,false,,48.1,95.7,56.3,84.9
dribbles,dribble,true,true,false,,42.7,64.5,,
dribbles,dribble,true,true,false,,31.4,35.7,,
defensive,ball-recovery,true,true,false,,63.3,13.7,,
defensive,ball-recovery,true,true,false,,55.2,36.5,,
defensive,ball-recovery,true,true,false,,38.4,67.8,,
defensive,ball-recovery,true,true,false,,60.2,76.3,,
defensive,tackle,true,true,false,,61,21.8,,
defensive,ball-recovery,true,true,false,,66.7,20.3,,
defensive,ball-recovery,true,true,false,,61,32.5,,
defensive,ball-recovery,true,true,false,,15.1,36.2,,
defensive,clearance,true,true,false,,11.9,39.7,16.5,51.8
defensive,clearance,true,true,false,,12,39.7,35.3,56.6
defensive,tackle,true,true,false,,13,13.8,,
defensive,ball-recovery,true,true,false,,12.1,12.3,,
ball-carries,ball-carry,true,,,,38.9,49.8,41.7,60.8
ball-carries,ball-carry,true,,,,68.8,16.5,63.3,13.7
ball-carries,ball-carry,true,,,,63.3,13.7,56.9,12
ball-carries,ball-carry,true,,,,61.1,92.6,60.9,79.4
ball-carries,ball-carry,true,,,,67.5,68.9,69.4,63.2
ball-carries,ball-carry,true,,,,53.2,55.8,58.9,71.7
ball-carries,ball-carry,true,,,,38.4,67.8,35.6,69.5
ball-carries,ball-carry,true,,,,61.4,50.8,67.4,50.9
