category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,26.2,73,34.4,94.7
passes,pass,true,true,false,,38.6,76.1,34.7,56.7
passes,pass,true,true,false,,47.1,75.2,45.1,57.6
passes,pass,true,true,false,,62.2,65.6,68.1,25.1
passes,pass,true,true,false,,66.5,68.3,60,61.8
passes,pass,true,true,false,,57.2,71.8,63.8,92.1
passes,pass,true,true,false,,59.3,69.4,52,60.3
passes,pass,true,true,false,,54.5,93.5,42.2,94.1
passes,pass,true,true,false,,53.5,31.2,55.6,46.8
passes,pass,true,true,false,,46.7,55.3,54,72.9
passes,pass,true,true,false,,62.9,15.9,52.9,28.8
passes,pass,true,true,false,,51.9,51.5,42.8,18.3
passes,pass,true,true,false,,45.3,32.7,52.9,61.2
passes,pass,true,true,false,,68.8,72.6,66.7,83.2
passes,pass,true,true,false,,53.7,28.5,65.5,18.9
passes,pass,true,true,false,,62,27.7,64,45.6
passes,pass,true,true,false,true,47.2,34.4,51.7,84.9
passes,pass,true,true,false,,61.3,40.9,59.3,60.3
passes,pass,true,true,false,,56.9,30.3,67.5,8.8
passes,pass,true,true,false,,49.4,45,66.7,6.8
passes,pass,true,true,false,,56,5.4,53.2,45.8
passes,pass,true,true,false,,64.8,62.6,54.3,57.4
passes,pass,true,,false,,72.5,56.5,75.6,72
passes,pass,true,true,false,,57.9,67.4,56.1,54.9
passes,pass,true,true,false,,56.4,67.3,65.6,87
passes,pass,true,true,false,,57.3,56.6,48.6,52.8
passes,pass,true,true,false,,62.4,48,53.5,35.6
passes,pass,true,,false,,65.6,25.1,72.1,31.4
passes,pass,true,true,false,,69.5,31.4,66.8,27.4
passes,pass,true,true,false,,60.8,50,59.2,66.2
passes,pass,true,true,false,,57.9,69.7,72.9,95.2
passes,pass,true,true,false,true,70.5,73.8,96.1,26.8
passes,pass,true,true,false,,70,75.9,74.5,75.2
passes,pass,true,true,true,,69.9,74.6,68.1,45.6
passes,pass,true,true,false,,60.6,65.5,67.6,57.9
passes,pass,true,true,false,,67.4,54.2,68.7,33.2
passes,pass,true,true,false,true,65.9,55.5,76,7.4
passes,pass,true,true,false,,54.8,57.6,62.9,55.8
