category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,false,true,false,,47,66,39.8,28.9
passes,pass,false,true,false,,27.9,49.9,27,71
passes,pass,false,true,false,,67.5,8.2,46.1,30.5
passes,pass,false,true,false,,74.2,72,75.1,66.8
passes,pass,false,true,false,,34.7,65,14.9,61.1
passes,pass,false,true,false,,35.5,34.1,36.7,69.8
passes,pass,false,true,false,,43.2,61.4,47.9,69.3
passes,pass,false,true,false,,24.5,57.8,18,17.6
passes,pass,false,true,false,,46.2,90.9,39.9,84.6
passes,pass,false,true,false,,60.1,91.7,48.1,73.1
passes,pass,false,true,false,,45.7,56,48.7,42.8
passes,pass,false,true,false,,56.1,53.9,52.5,66.2
passes,pass,false,true,false,true,37.7,46.1,58.3,11.3
passes,pass,false,true,false,,37.9,55.5,45.3,80.7
passes,pass,false,true,false,,35,49.9,45.8,44.5
passes,pass,false,true,false,,68.4,38.8,73,29.3
passes,pass,false,true,false,,73.3,43.3,78.7,8.5
passes,pass,false,true,false,,47.8,68.7,47.9,57.9
passes,pass,false,true,false,,55.3,72.8,55.5,57.5
passes,pass,false,true,false,,58.8,59.6,64.9,83.1
passes,pass,false,true,false,,56.7,65,56.6,32.5
passes,pass,false,true,false,,45.1,32,38.9,63.6
passes,pass,false,true,false,,55.7,33.4,47.2,59.1
passes,pass,false,true,false,,69.1,71.7,57.8,75
passes,pass,false,true,false,,61.3,76.1,66.8,73.2
passes,pass,false,true,false,,61,70.8,59.4,60.9
passes,pass,false,true,false,,15.6,65.9,20.2,93.8
passes,pass,false,true,false,,44.4,68.9,45.1,81.2
passes,pass,false,true,false,,34.3,60.2,30.3,40.4
passes,pass,false,true,false,,51.6,56,40.6,60.8
passes,pass,false,,false,,61,63.3,81.1,75.6
passes,pass,false,true,false,,30.8,34.9,29.5,27.8
passes,pass,false,true,false,,46.2,34.9,48.6,68.1
passes,pass,false,true,false,,53.8,65.3,47.6,41.3
passes,pass,false,true,false,,66.8,48.2,65.1,63
passes,pass,false,true,false,,54.8,42.1,62.8,35.9
passes,pass,false,true,false,,53.3,41.9,52.8,25.3
passes,pass,false,true,false,,59.3,65.3,57,74.6
passes,pass,false,true,false,,63.2,39.1,52.5,51
