category,eventActionType,isHome,outcome,keypass,isLongBall,start_x,start_y,end_x,end_y
passes,pass,true,true,false,,44.2,96,37,91.5
passes,pass,true,true,false,,38.5,93.7,22,72
passes,pass,true,true,false,,43.3,71.4,60.3,94.6
passes,pass,true,true,false,,71.9,64,78.6,52.3
passes,pass,true,,false,true,27.1,79.3,66.1,80.5
passes,pass,true,,false,,17,35.2,20.3,36
passes,pass,true,,false,,54,56.4,64.3,48
passes,pass,true,true,false,,57.8,68.7,66.1,62.8
passes,pass,true,,false,,66.3,71.5,76,70.9
passes,pass,true,true,false,,30.8,35.8,29.8,23.2
passes,pass,true,true,false,,34,69.6,47.9,94.5
passes,pass,true,true,false,,43.6,70.9,40.4,31
passes,pass,true,true,false,,64.9,92.4,84.2,91.8
passes,pass,true,true,false,,65.8,95.4,58.3,88.3
passes,pass,true,true,false,,65.6,67,58.4,62.5
passes,pass,true,true,false,,58.8,57.9,67.2,18.7
passes,pass,true,true,false,true,53.4,83.5,23.3,70.2
passes,pass,true,true,false,,39.9,86.7,55,97.8
passes,pass,true,true,false,,43.7,88.6,56.1,86.5
passes,pass,true,true,false,,38.8,46.9,61.3,71.8
passes,pass,true,,false,true,91.8,64.5,96.4,10.9
passes,pass,true,true,false,,76.3,82.5,79.5,93.9
passes,pass,true,true,false,,36.6,88.2,40.9,94.2
passes,pass,true,true,false,,27.8,90.7,27.3,96.4
passes,pass,true,true,false,,32.3,94.8,26.2,93.2
passes,pass,true,true,false,,31.2,65.8,30.6,49.3
passes,pass,true,true,false,,34.3,57.4,38.6,73.9
passes,pass,true,true,false,,33.8,56.2,33.2,30.3
passes,pass,true,,false,,62.6,46.7,73.3,29.2
passes,pass,true,true,false,,34.6,92.8,27.3,90.6
passes,pass,true,true,false,,32,88.8,26.6,94.9
passes,pass,true,true,false,,32.5,80.4,30.5,69.7
passes,pass,true,true,false,,40.4,83.5,35,80.5
passes,pass,true,true,false,,41.9,84.3,36.8,81.1
passes,pass,true,true,false,,53.5,70.5,37.5,72.1
passes,pass,true,true,false,,39.9,67,37.3,32.2
passes,pass,true,true,false,,45.1,42.9,57.7,14.5
passes,pass,true,true,false,,57,79.2,62.4,96.4
passes,pass,true,true,false,,64.8,62.8,65.4,36.1
passes,pass,true,true,false,,66.5,69.6,72.2,69.4
passes,pass,true,true,false,,65.8,76,74.1,94.6
passes,pass,true,true,false,,65,89.4,72.6,94.2
passes,pass,true,true,false,,57.7,83.8,55.2,68.4
passes,pass,true,true,false,,46.5,50.5,53.6,13
passes,pass,true,true,false,,30.9,72.1,29.6,86.8
passes,pass,true,true,false,,62.8,92.1,73.4,94.8
passes,pass,true,true,false,,63.5,78.6,58.8,65.8
passes,pass,true,true,false,,70,85.9,73.2,95.5
passes,pass,true,true,false,true,30.8,90,18.4,44.1
passes,pass,true,true,false,,31.1,45.6,39.3,36
passes,pass,true,true,false,,54.9,72.4,67.3,85.6
passes,pass,true,true,false,,57.7,72.4,54.6,55
passes,pass,true,true,false,,67.1,79.2,73.8,93
passes,pass,true,true,false,,66.1,83.5,62.2,65.1
passes,pass,true,,false,,79.5,57.6,79.6,49.5
passes,pass,true,true,true,,83.7,71.4,78.1,56.1
passes,pass,true,true,false,,33.4,40.3,39.4,33.9
passes,pass,true,true,false,,31.7,45.9,12.9,48.9
passes,pass,true,true,false,,44.4,68.8,38.4,74.8
passes,pass,true,true,false,,36.5,51.6,38.3,31
passes,pass,true,true,false,,42.8,44.8,52.3,16.3
passes,pass,true,true,false,,30.4,65.1,32.2,70
passes,pass,true,true,false,true,64.1,73.3,74.8,1.3
passes,pass,true,true,false,,26.7,88.5,26.6,74.4
passes,pass,true,true,false,,31,76.5,34.8,87
passes,pass,true,true,false,,70.7,27,73.1,19.3
passes,pass,true,true,false,,46.7,58.3,47.5,47.4
passes,pass,true,true,false,,75.2,62.5,69.8,48.7
passes,pass,true,true,false,,39.2,59.7,62.3,76.9
passes,pass,true,true,false,,54.8,36.7,44,32.2
dribbles,dribble,true,true,false,,64,75.8,,
defensive,clearance,true,true,false,,15,46.4,28.6,36.6
defensive,tackle,true,,false,,17.2,34.8,,
defensive,tackle,true,true,false,,15,44.8,,
defensive,ball-recovery,true,true,false,,15.8,34.8,,
defensive,ball-recovery,true,true,false,,30.8,35.8,,
defensive,ball-recovery,true,true,false,,27.8,90.7,,
defensive,ball-recovery,true,true,false,,28.7,93,,
defensive,clearance,true,true,false,,27.8,70.6,34.7,58
defensive,ball-recovery,true,true,false,,47.6,54.9,,
defensive,ball-recovery,true,true,false,,31.1,45.6,,
defensive,ball-recovery,true,true,false,,29.8,73.2,,
defensive,interception,true,true,false,,26.2,60.3,,
ball-carries,ball-carry,true,,,,40,65.7,43.3,71.4
ball-carries,ball-carry,true,,,,62.6,84.3,75.1,69.9
ball-carries,ball-carry,true,,,,30.5,56.7,34,69.6
ball-carries,ball-carry,true,,,,43.1,83.8,43.6,70.9
ball-carries,ball-carry,true,,,,66.8,73.3,65.6,67
ball-carries,ball-carry,true,,,,55.9,75.6,53.4,83.5
ball-carries,ball-carry,true,,,,78.7,53.1,91.8,64.5
ball-carries,ball-carry,true,,,,69.3,77.2,76.3,82.5
ball-carries,ball-carry,true,,,,40,78.4,36.6,88.2
ball-carries,ball-carry,true,,,,32.3,89.1,31.2,65.8
ball-carries,ball-carry,true,,,,29.2,54.7,34.3,57.4
ball-carries,ball-carry,true,,,,34.6,61,33.8,56.2
ball-carries,ball-carry,true,,,,23.9,89.5,28.7,93
ball-carries,ball-carry,true,,,,28.7,93,34.6,92.8
ball-carries,ball-carry,true,,,,27.1,87.3,32.5,80.4
ball-carries,ball-carry,true,,,,43.2,71.2,39.9,67
ball-carries,ball-carry,true,,,,36.5,40.8,45.1,42.9
ball-carries,ball-carry,true,,,,63.7,67.3,64.8,62.8
ball-carries,ball-carry,true,,,,63.6,92.2,57.7,83.8
ball-carries,ball-carry,true,,,,42.6,63,46.5,50.5
ball-carries,ball-carry,true,,,,28.4,66.6,30.9,72.1
ball-carries,ball-carry,true,,,,64.6,91.2,63.5,78.6
ball-carries,ball-carry,true,,,,67.6,83.1,70,85.9
ball-carries,ball-carry,true,,,,35.6,93.1,30.8,90
ball-carries,ball-carry,true,,,,29.8,73.2,71.4,24.8
ball-carries,ball-carry,true,,,,79.5,61.3,80.2,55.5
ball-carries,ball-carry,true,,,,53.1,60.9,54.9,72.4
ball-carries,ball-carry,true,,,,79,78.1,83.7,71.4
ball-carries,ball-carry,true,,,,29,63.4,33.4,40.3
ball-carries,ball-carry,true,,,,33.2,34.9,31.7,45.9
ball-carries,ball-carry,true,,,,13.7,93.3,16.4,90.4
ball-carries,ball-carry,true,,,,57.3,83.7,65,74.6
ball-carries,ball-carry,true,,,,67.3,30.1,70.7,27
